RIC,Date,Price_To_Book,Pretax_ROA,ROA_TTM
AENA.MC,2018-05-09,4.0924,10.3611,8.1484
AENA.MC,2018-05-10,4.0924,10.3611,8.1484
AENA.MC,2018-05-11,4.0924,10.3611,8.1484
AENA.MC,2018-05-12,4.0924,10.3611,8.1484
AENA.MC,2018-05-13,4.0924,10.3611,8.1484
AENA.MC,2018-05-14,4.0924,10.3611,8.1484
AENA.MC,2018-05-15,4.0924,10.3611,8.1484
AENA.MC,2018-05-16,4.0924,10.3611,8.1484
AENA.MC,2018-05-17,4.0924,10.3611,8.1484
AENA.MC,2018-05-18,4.0924,10.3611,8.1484
AENA.MC,2018-05-19,4.0924,10.3611,8.1484
AENA.MC,2018-05-20,4.0924,10.3611,8.1484
AENA.MC,2018-05-21,4.0924,10.3611,8.1484
AENA.MC,2018-05-22,4.0924,10.3611,8.1484
AENA.MC,2018-05-23,4.0924,10.3611,8.1484
AENA.MC,2018-05-24,4.0924,10.3611,8.1484
AENA.MC,2018-05-25,4.0924,10.3611,8.1484
AENA.MC,2018-05-26,4.0924,10.3611,8.1484
AENA.MC,2018-05-27,4.0924,10.3611,8.1484
AENA.MC,2018-05-28,4.0924,10.3611,8.1484
AENA.MC,2018-05-29,4.0924,10.3611,8.1484
AENA.MC,2018-05-30,4.0924,10.3611,8.1484
AENA.MC,2018-05-31,4.0924,10.3611,8.1484
AENA.MC,2018-06-01,4.0924,10.3611,8.1484
AENA.MC,2018-06-02,4.0924,10.3611,8.1484
AENA.MC,2018-06-03,4.0924,10.3611,8.1484
AENA.MC,2018-06-04,4.0924,10.3611,8.1484
AENA.MC,2018-06-05,4.0924,10.3611,8.1484
AENA.MC,2018-06-06,4.0924,10.3611,8.1484
AENA.MC,2018-06-07,4.0924,10.3611,8.1484
AENA.MC,2018-06-08,4.0924,10.3611,8.1484
AENA.MC,2018-06-09,4.0924,10.3611,8.1484
AENA.MC,2018-06-10,4.0924,10.3611,8.1484
AENA.MC,2018-06-11,4.0924,10.3611,8.1484
AENA.MC,2018-06-12,4.0924,10.3611,8.1484
AENA.MC,2018-06-13,4.0924,10.3611,8.1484
AENA.MC,2018-06-14,4.0924,10.3611,8.1484
AENA.MC,2018-06-15,4.0924,10.3611,8.1484
AENA.MC,2018-06-16,4.0924,10.3611,8.1484
AENA.MC,2018-06-17,4.0924,10.3611,8.1484
AENA.MC,2018-06-18,4.0924,10.3611,8.1484
AENA.MC,2018-06-19,4.0924,10.3611,8.1484
AENA.MC,2018-06-20,4.0924,10.3611,8.1484
AENA.MC,2018-06-21,4.0924,10.3611,8.1484
AENA.MC,2018-06-22,4.0924,10.3611,8.1484
AENA.MC,2018-06-23,4.0924,10.3611,8.1484
AENA.MC,2018-06-24,4.0924,10.3611,8.1484
AENA.MC,2018-06-25,4.0924,10.3611,8.1484
AENA.MC,2018-06-26,4.0924,10.3611,8.1484
AENA.MC,2018-06-27,4.0924,10.3611,8.1484
AENA.MC,2018-06-28,4.0924,10.3611,8.1484
AENA.MC,2018-06-29,4.0924,10.3611,8.1484
AENA.MC,2018-06-30,4.0924,10.3611,8.6219
AENA.MC,2018-07-01,4.0924,10.3611,8.6219
AENA.MC,2018-07-02,4.0924,10.3611,8.6219
AENA.MC,2018-07-03,4.0924,10.3611,8.6219
AENA.MC,2018-07-04,4.0924,10.3611,8.6219
AENA.MC,2018-07-05,4.0924,10.3611,8.6219
AENA.MC,2018-07-06,4.0924,10.3611,8.6219
AENA.MC,2018-07-07,4.0924,10.3611,8.6219
AENA.MC,2018-07-08,4.0924,10.3611,8.6219
AENA.MC,2018-07-09,4.0924,10.3611,8.6219
AENA.MC,2018-07-10,4.0924,10.3611,8.6219
AENA.MC,2018-07-11,4.0924,10.3611,8.6219
AENA.MC,2018-07-12,4.0924,10.3611,8.6219
AENA.MC,2018-07-13,4.0924,10.3611,8.6219
AENA.MC,2018-07-14,4.0924,10.3611,8.6219
AENA.MC,2018-07-15,4.0924,10.3611,8.6219
AENA.MC,2018-07-16,4.0924,10.3611,8.6219
AENA.MC,2018-07-17,4.0924,10.3611,8.6219
AENA.MC,2018-07-18,4.0924,10.3611,8.6219
AENA.MC,2018-07-19,4.0924,10.3611,8.6219
AENA.MC,2018-07-20,4.0924,10.3611,8.6219
AENA.MC,2018-07-21,4.0924,10.3611,8.6219
AENA.MC,2018-07-22,4.0924,10.3611,8.6219
AENA.MC,2018-07-23,4.0924,10.3611,8.6219
AENA.MC,2018-07-24,4.0924,10.3611,8.6219
AENA.MC,2018-07-25,4.0924,10.3611,8.6219
AENA.MC,2018-07-26,4.0924,10.3611,8.6219
AENA.MC,2018-07-27,4.0924,10.3611,8.6219
AENA.MC,2018-07-28,4.0924,10.3611,8.6219
AENA.MC,2018-07-29,4.0924,10.3611,8.6219
AENA.MC,2018-07-30,4.0924,10.3611,8.6219
AENA.MC,2018-07-31,4.0924,10.3611,8.6219
AENA.MC,2018-08-01,4.0924,10.3611,8.6219
AENA.MC,2018-08-02,4.0924,10.3611,8.6219
AENA.MC,2018-08-03,4.0924,10.3611,8.6219
AENA.MC,2018-08-04,4.0924,10.3611,8.6219
AENA.MC,2018-08-05,4.0924,10.3611,8.6219
AENA.MC,2018-08-06,4.0924,10.3611,8.6219
AENA.MC,2018-08-07,4.0924,10.3611,8.6219
AENA.MC,2018-08-08,4.0924,10.3611,8.6219
AENA.MC,2018-08-09,4.0924,10.3611,8.6219
AENA.MC,2018-08-10,4.0924,10.3611,8.6219
AENA.MC,2018-08-11,4.0924,10.3611,8.6219
AENA.MC,2018-08-12,4.0924,10.3611,8.6219
AENA.MC,2018-08-13,4.0924,10.3611,8.6219
AENA.MC,2018-08-14,4.0924,10.3611,8.6219
AENA.MC,2018-08-15,4.0924,10.3611,8.6219
AENA.MC,2018-08-16,4.0924,10.3611,8.6219
AENA.MC,2018-08-17,4.0924,10.3611,8.6219
AENA.MC,2018-08-18,4.0924,10.3611,8.6219
AENA.MC,2018-08-19,4.0924,10.3611,8.6219
AENA.MC,2018-08-20,4.0924,10.3611,8.6219
AENA.MC,2018-08-21,4.0924,10.3611,8.6219
AENA.MC,2018-08-22,4.0924,10.3611,8.6219
AENA.MC,2018-08-23,4.0924,10.3611,8.6219
AENA.MC,2018-08-24,4.0924,10.3611,8.6219
AENA.MC,2018-08-25,4.0924,10.3611,8.6219
AENA.MC,2018-08-26,4.0924,10.3611,8.6219
AENA.MC,2018-08-27,4.0924,10.3611,8.6219
AENA.MC,2018-08-28,4.0924,10.3611,8.6219
AENA.MC,2018-08-29,4.0924,10.3611,8.6219
AENA.MC,2018-08-30,4.0924,10.3611,8.6219
AENA.MC,2018-08-31,4.0924,10.3611,8.6219
AENA.MC,2018-09-01,4.0924,10.3611,8.6219
AENA.MC,2018-09-02,4.0924,10.3611,8.6219
AENA.MC,2018-09-03,4.0924,10.3611,8.6219
AENA.MC,2018-09-04,4.0924,10.3611,8.6219
AENA.MC,2018-09-05,4.0924,10.3611,8.6219
AENA.MC,2018-09-06,4.0924,10.3611,8.6219
AENA.MC,2018-09-07,4.0924,10.3611,8.6219
AENA.MC,2018-09-08,4.0924,10.3611,8.6219
AENA.MC,2018-09-09,4.0924,10.3611,8.6219
AENA.MC,2018-09-10,4.0924,10.3611,8.6219
AENA.MC,2018-09-11,4.0924,10.3611,8.6219
AENA.MC,2018-09-12,4.0924,10.3611,8.6219
AENA.MC,2018-09-13,4.0924,10.3611,8.6219
AENA.MC,2018-09-14,4.0924,10.3611,8.6219
AENA.MC,2018-09-15,4.0924,10.3611,8.6219
AENA.MC,2018-09-16,4.0924,10.3611,8.6219
AENA.MC,2018-09-17,4.0924,10.3611,8.6219
AENA.MC,2018-09-18,4.0924,10.3611,8.6219
AENA.MC,2018-09-19,4.0924,10.3611,8.6219
AENA.MC,2018-09-20,4.0924,10.3611,8.6219
AENA.MC,2018-09-21,4.0924,10.3611,8.6219
AENA.MC,2018-09-22,4.0924,10.3611,8.6219
AENA.MC,2018-09-23,4.0924,10.3611,8.6219
AENA.MC,2018-09-24,4.0924,10.3611,8.6219
AENA.MC,2018-09-25,4.0924,10.3611,8.6219
AENA.MC,2018-09-26,4.0924,10.3611,8.6219
AENA.MC,2018-09-27,4.0924,10.3611,8.6219
AENA.MC,2018-09-28,4.0924,10.3611,8.6219
AENA.MC,2018-09-29,4.0924,10.3611,8.6219
AENA.MC,2018-09-30,4.0924,10.3611,8.3704
AENA.MC,2018-10-01,4.0924,10.3611,8.3704
AENA.MC,2018-10-02,4.0924,10.3611,8.3704
AENA.MC,2018-10-03,4.0924,10.3611,8.3704
AENA.MC,2018-10-04,4.0924,10.3611,8.3704
AENA.MC,2018-10-05,4.0924,10.3611,8.3704
AENA.MC,2018-10-06,4.0924,10.3611,8.3704
AENA.MC,2018-10-07,4.0924,10.3611,8.3704
AENA.MC,2018-10-08,4.0924,10.3611,8.3704
AENA.MC,2018-10-09,4.0924,10.3611,8.3704
AENA.MC,2018-10-10,4.0924,10.3611,8.3704
AENA.MC,2018-10-11,4.0924,10.3611,8.3704
AENA.MC,2018-10-12,4.0924,10.3611,8.3704
AENA.MC,2018-10-13,4.0924,10.3611,8.3704
AENA.MC,2018-10-14,4.0924,10.3611,8.3704
AENA.MC,2018-10-15,4.0924,10.3611,8.3704
AENA.MC,2018-10-16,4.0924,10.3611,8.3704
AENA.MC,2018-10-17,4.0924,10.3611,8.3704
AENA.MC,2018-10-18,4.0924,10.3611,8.3704
AENA.MC,2018-10-19,4.0924,10.3611,8.3704
AENA.MC,2018-10-20,4.0924,10.3611,8.3704
AENA.MC,2018-10-21,4.0924,10.3611,8.3704
AENA.MC,2018-10-22,4.0924,10.3611,8.3704
AENA.MC,2018-10-23,4.0924,10.3611,8.3704
AENA.MC,2018-10-24,4.0924,10.3611,8.3704
AENA.MC,2018-10-25,4.0924,10.3611,8.3704
AENA.MC,2018-10-26,4.0924,10.3611,8.3704
AENA.MC,2018-10-27,4.0924,10.3611,8.3704
AENA.MC,2018-10-28,4.0924,10.3611,8.3704
AENA.MC,2018-10-29,4.0924,10.3611,8.3704
AENA.MC,2018-10-30,4.0924,10.3611,8.3704
AENA.MC,2018-10-31,4.0924,10.3611,8.3704
AENA.MC,2018-11-01,4.0924,10.3611,8.3704
AENA.MC,2018-11-02,4.0924,10.3611,8.3704
AENA.MC,2018-11-03,4.0924,10.3611,8.3704
AENA.MC,2018-11-04,4.0924,10.3611,8.3704
AENA.MC,2018-11-05,4.0924,10.3611,8.3704
AENA.MC,2018-11-06,4.0924,10.3611,8.3704
AENA.MC,2018-11-07,4.0924,10.3611,8.3704
AENA.MC,2018-11-08,4.0924,10.3611,8.3704
AENA.MC,2018-11-09,4.0924,10.3611,8.3704
AENA.MC,2018-11-10,4.0924,10.3611,8.3704
AENA.MC,2018-11-11,4.0924,10.3611,8.3704
AENA.MC,2018-11-12,4.0924,10.3611,8.3704
AENA.MC,2018-11-13,4.0924,10.3611,8.3704
AENA.MC,2018-11-14,4.0924,10.3611,8.3704
AENA.MC,2018-11-15,4.0924,10.3611,8.3704
AENA.MC,2018-11-16,4.0924,10.3611,8.3704
AENA.MC,2018-11-17,4.0924,10.3611,8.3704
AENA.MC,2018-11-18,4.0924,10.3611,8.3704
AENA.MC,2018-11-19,4.0924,10.3611,8.3704
AENA.MC,2018-11-20,4.0924,10.3611,8.3704
AENA.MC,2018-11-21,4.0924,10.3611,8.3704
AENA.MC,2018-11-22,4.0924,10.3611,8.3704
AENA.MC,2018-11-23,4.0924,10.3611,8.3704
AENA.MC,2018-11-24,4.0924,10.3611,8.3704
AENA.MC,2018-11-25,4.0924,10.3611,8.3704
AENA.MC,2018-11-26,4.0924,10.3611,8.3704
AENA.MC,2018-11-27,4.0924,10.3611,8.3704
AENA.MC,2018-11-28,4.0924,10.3611,8.3704
AENA.MC,2018-11-29,4.0924,10.3611,8.3704
AENA.MC,2018-11-30,4.0924,10.3611,8.3704
AENA.MC,2018-12-01,4.0924,10.3611,8.3704
AENA.MC,2018-12-02,4.0924,10.3611,8.3704
AENA.MC,2018-12-03,4.0924,10.3611,8.3704
AENA.MC,2018-12-04,4.0924,10.3611,8.3704
AENA.MC,2018-12-05,4.0924,10.3611,8.3704
AENA.MC,2018-12-06,4.0924,10.3611,8.3704
AENA.MC,2018-12-07,4.0924,10.3611,8.3704
AENA.MC,2018-12-08,4.0924,10.3611,8.3704
AENA.MC,2018-12-09,4.0924,10.3611,8.3704
AENA.MC,2018-12-10,4.0924,10.3611,8.3704
AENA.MC,2018-12-11,4.0924,10.3611,8.3704
AENA.MC,2018-12-12,4.0924,10.3611,8.3704
AENA.MC,2018-12-13,4.0924,10.3611,8.3704
AENA.MC,2018-12-14,4.0924,10.3611,8.3704
AENA.MC,2018-12-15,4.0924,10.3611,8.3704
AENA.MC,2018-12-16,4.0924,10.3611,8.3704
AENA.MC,2018-12-17,4.0924,10.3611,8.3704
AENA.MC,2018-12-18,4.0924,10.3611,8.3704
AENA.MC,2018-12-19,4.0924,10.3611,8.3704
AENA.MC,2018-12-20,4.0924,10.3611,8.3704
AENA.MC,2018-12-21,4.0924,10.3611,8.3704
AENA.MC,2018-12-22,4.0924,10.3611,8.3704
AENA.MC,2018-12-23,4.0924,10.3611,8.3704
AENA.MC,2018-12-24,4.0924,10.3611,8.3704
AENA.MC,2018-12-25,4.0924,10.3611,8.3704
AENA.MC,2018-12-26,4.0924,10.3611,8.3704
AENA.MC,2018-12-27,4.0924,10.3611,8.3704
AENA.MC,2018-12-28,4.0924,10.3611,8.3704
AENA.MC,2018-12-29,4.0924,10.3611,8.3704
AENA.MC,2018-12-30,4.0924,10.3611,8.3704
AENA.MC,2018-12-31,3.1181,11.5032,8.7912
AG1G.DE,2018-01-01,,-15.856,
AG1G.DE,2018-01-02,,-15.856,
AG1G.DE,2018-01-03,,-15.856,
AG1G.DE,2018-01-04,,-15.856,
AG1G.DE,2018-01-05,,-15.856,
AG1G.DE,2018-01-06,,-15.856,
AG1G.DE,2018-01-07,,-15.856,
AG1G.DE,2018-01-08,,-15.856,
AG1G.DE,2018-01-09,,-15.856,
AG1G.DE,2018-01-10,,-15.856,
AG1G.DE,2018-01-11,,-15.856,
AG1G.DE,2018-01-12,,-15.856,
AG1G.DE,2018-01-13,,-15.856,
AG1G.DE,2018-01-14,,-15.856,
AG1G.DE,2018-01-15,,-15.856,
AG1G.DE,2018-01-16,,-15.856,
AG1G.DE,2018-01-17,,-15.856,
AG1G.DE,2018-01-18,,-15.856,
AG1G.DE,2018-01-19,,-15.856,
AG1G.DE,2018-01-20,,-15.856,
AG1G.DE,2018-01-21,,-15.856,
AG1G.DE,2018-01-22,,-15.856,
AG1G.DE,2018-01-23,,-15.856,
AG1G.DE,2018-01-24,,-15.856,
AG1G.DE,2018-01-25,,-15.856,
AG1G.DE,2018-01-26,,-15.856,
AG1G.DE,2018-01-27,,-15.856,
AG1G.DE,2018-01-28,,-15.856,
AG1G.DE,2018-01-29,,-15.856,
AG1G.DE,2018-01-30,,-15.856,
AG1G.DE,2018-01-31,,-15.856,
AG1G.DE,2018-02-01,,-15.856,
AG1G.DE,2018-02-02,,-15.856,
AG1G.DE,2018-02-03,,-15.856,
AG1G.DE,2018-02-04,,-15.856,
AG1G.DE,2018-02-05,,-15.856,
AG1G.DE,2018-02-06,,-15.856,
AG1G.DE,2018-02-07,,-15.856,
AG1G.DE,2018-02-08,,-15.856,
AG1G.DE,2018-02-09,,-15.856,
AG1G.DE,2018-02-10,,-15.856,
AG1G.DE,2018-02-11,,-15.856,
AG1G.DE,2018-02-12,,-15.856,
AG1G.DE,2018-02-13,,-15.856,
AG1G.DE,2018-02-14,,-15.856,
AG1G.DE,2018-02-15,,-15.856,
AG1G.DE,2018-02-16,,-15.856,
AG1G.DE,2018-02-17,,-15.856,
AG1G.DE,2018-02-18,,-15.856,
AG1G.DE,2018-02-19,,-15.856,
AG1G.DE,2018-02-20,,-15.856,
AG1G.DE,2018-02-21,,-15.856,
AG1G.DE,2018-02-22,,-15.856,
AG1G.DE,2018-02-23,,-15.856,
AG1G.DE,2018-02-24,,-15.856,
AG1G.DE,2018-02-25,,-15.856,
AG1G.DE,2018-02-26,,-15.856,
AG1G.DE,2018-02-27,,-15.856,
AG1G.DE,2018-02-28,,-15.856,
AG1G.DE,2018-03-01,,-15.856,
AG1G.DE,2018-03-02,,-15.856,
AG1G.DE,2018-03-03,,-15.856,
AG1G.DE,2018-03-04,,-15.856,
AG1G.DE,2018-03-05,,-15.856,
AG1G.DE,2018-03-06,,-15.856,
AG1G.DE,2018-03-07,,-15.856,
AG1G.DE,2018-03-08,,-15.856,
AG1G.DE,2018-03-09,,-15.856,
AG1G.DE,2018-03-10,,-15.856,
AG1G.DE,2018-03-11,,-15.856,
AG1G.DE,2018-03-12,,-15.856,
AG1G.DE,2018-03-13,,-15.856,
AG1G.DE,2018-03-14,,-15.856,
AG1G.DE,2018-03-15,,-15.856,
AG1G.DE,2018-03-16,,-15.856,
AG1G.DE,2018-03-17,,-15.856,
AG1G.DE,2018-03-18,,-15.856,
AG1G.DE,2018-03-19,,-15.856,
AG1G.DE,2018-03-20,,-15.856,
AG1G.DE,2018-03-21,,-15.856,
AG1G.DE,2018-03-22,,-15.856,
AG1G.DE,2018-03-23,,-15.856,
AG1G.DE,2018-03-24,,-15.856,
AG1G.DE,2018-03-25,,-15.856,
AG1G.DE,2018-03-26,,-15.856,
AG1G.DE,2018-03-27,,-15.856,
AG1G.DE,2018-03-28,,-15.856,
AG1G.DE,2018-03-29,,-15.856,
AG1G.DE,2018-03-30,,-15.856,
AG1G.DE,2018-03-31,,-15.856,
AG1G.DE,2018-04-01,,-15.856,
AG1G.DE,2018-04-02,,-15.856,
AG1G.DE,2018-04-03,,-15.856,
AG1G.DE,2018-04-04,,-15.856,
AG1G.DE,2018-04-05,,-15.856,
AG1G.DE,2018-04-06,,-15.856,
AG1G.DE,2018-04-07,,-15.856,
AG1G.DE,2018-04-08,,-15.856,
AG1G.DE,2018-04-09,,-15.856,
AG1G.DE,2018-04-10,,-15.856,
AG1G.DE,2018-04-11,,-15.856,
AG1G.DE,2018-04-12,,-15.856,
AG1G.DE,2018-04-13,,-15.856,
AG1G.DE,2018-04-14,,-15.856,
AG1G.DE,2018-04-15,,-15.856,
AG1G.DE,2018-04-16,,-15.856,
AG1G.DE,2018-04-17,,-15.856,
AG1G.DE,2018-04-18,,-15.856,
AG1G.DE,2018-04-19,,-15.856,
AG1G.DE,2018-04-20,,-15.856,
AG1G.DE,2018-04-21,,-15.856,
AG1G.DE,2018-04-22,,-15.856,
AG1G.DE,2018-04-23,,-15.856,
AG1G.DE,2018-04-24,,-15.856,
AG1G.DE,2018-04-25,,-15.856,
AG1G.DE,2018-04-26,,-15.856,
AG1G.DE,2018-04-27,,-15.856,
AG1G.DE,2018-04-28,,-15.856,
AG1G.DE,2018-04-29,,-15.856,
AG1G.DE,2018-04-30,,-15.856,
AG1G.DE,2018-05-01,,-15.856,
AG1G.DE,2018-05-02,,-15.856,
AG1G.DE,2018-05-03,,-15.856,
AG1G.DE,2018-05-04,,-15.856,
AG1G.DE,2018-05-05,,-15.856,
AG1G.DE,2018-05-06,,-15.856,
AG1G.DE,2018-05-07,,-15.856,
AG1G.DE,2018-05-08,,-15.856,
AG1G.DE,2018-05-09,,-15.856,
AG1G.DE,2018-05-10,,-15.856,
AG1G.DE,2018-05-11,,-15.856,
AG1G.DE,2018-05-12,,-15.856,
AG1G.DE,2018-05-13,,-15.856,
AG1G.DE,2018-05-14,,-15.856,
AG1G.DE,2018-05-15,,-15.856,
AG1G.DE,2018-05-16,,-15.856,
AG1G.DE,2018-05-17,,-15.856,
AG1G.DE,2018-05-18,,-15.856,
AG1G.DE,2018-05-19,,-15.856,
AG1G.DE,2018-05-20,,-15.856,
AG1G.DE,2018-05-21,,-15.856,
AG1G.DE,2018-05-22,,-15.856,
AG1G.DE,2018-05-23,,-15.856,
AG1G.DE,2018-05-24,,-15.856,
AG1G.DE,2018-05-25,,-15.856,
AG1G.DE,2018-05-26,,-15.856,
AG1G.DE,2018-05-27,,-15.856,
AG1G.DE,2018-05-28,,-15.856,
AG1G.DE,2018-05-29,,-15.856,
AG1G.DE,2018-05-30,,-15.856,
AG1G.DE,2018-05-31,,-15.856,
AG1G.DE,2018-06-01,,-15.856,
AG1G.DE,2018-06-02,,-15.856,
AG1G.DE,2018-06-03,,-15.856,
AG1G.DE,2018-06-04,,-15.856,
AG1G.DE,2018-06-05,,-15.856,
AG1G.DE,2018-06-06,,-15.856,
AG1G.DE,2018-06-07,,-15.856,
AG1G.DE,2018-06-08,,-15.856,
AG1G.DE,2018-06-09,,-15.856,
AG1G.DE,2018-06-10,,-15.856,
AG1G.DE,2018-06-11,,-15.856,
AG1G.DE,2018-06-12,,-15.856,
AG1G.DE,2018-06-13,,-15.856,
AG1G.DE,2018-06-14,,-15.856,
AG1G.DE,2018-06-15,,-15.856,
AG1G.DE,2018-06-16,,-15.856,
AG1G.DE,2018-06-17,,-15.856,
AG1G.DE,2018-06-18,,-15.856,
AG1G.DE,2018-06-19,,-15.856,
AG1G.DE,2018-06-20,,-15.856,
AG1G.DE,2018-06-21,,-15.856,
AG1G.DE,2018-06-22,,-15.856,
AG1G.DE,2018-06-23,,-15.856,
AG1G.DE,2018-06-24,,-15.856,
AG1G.DE,2018-06-25,,-15.856,
AG1G.DE,2018-06-26,,-15.856,
AG1G.DE,2018-06-27,,-15.856,
AG1G.DE,2018-06-28,,-15.856,
AG1G.DE,2018-06-29,,-15.856,
AG1G.DE,2018-06-30,,-15.856,
AG1G.DE,2018-07-01,,-15.856,
AG1G.DE,2018-07-02,,-15.856,
AG1G.DE,2018-07-03,,-15.856,
AG1G.DE,2018-07-04,,-15.856,
AG1G.DE,2018-07-05,,-15.856,
AG1G.DE,2018-07-06,,-15.856,
AG1G.DE,2018-07-07,,-15.856,
AG1G.DE,2018-07-08,,-15.856,
AG1G.DE,2018-07-09,,-15.856,
AG1G.DE,2018-07-10,,-15.856,
AG1G.DE,2018-07-11,,-15.856,
AG1G.DE,2018-07-12,,-15.856,
AG1G.DE,2018-07-13,,-15.856,
AG1G.DE,2018-07-14,,-15.856,
AG1G.DE,2018-07-15,,-15.856,
AG1G.DE,2018-07-16,,-15.856,
AG1G.DE,2018-07-17,,-15.856,
AG1G.DE,2018-07-18,,-15.856,
AG1G.DE,2018-07-19,,-15.856,
AG1G.DE,2018-07-20,,-15.856,
AG1G.DE,2018-07-21,,-15.856,
AG1G.DE,2018-07-22,,-15.856,
AG1G.DE,2018-07-23,,-15.856,
AG1G.DE,2018-07-24,,-15.856,
AG1G.DE,2018-07-25,,-15.856,
AG1G.DE,2018-07-26,,-15.856,
AG1G.DE,2018-07-27,,-15.856,
AG1G.DE,2018-07-28,,-15.856,
AG1G.DE,2018-07-29,,-15.856,
AG1G.DE,2018-07-30,,-15.856,
AG1G.DE,2018-07-31,,-15.856,
AG1G.DE,2018-08-01,,-15.856,
AG1G.DE,2018-08-02,,-15.856,
AG1G.DE,2018-08-03,,-15.856,
AG1G.DE,2018-08-04,,-15.856,
AG1G.DE,2018-08-05,,-15.856,
AG1G.DE,2018-08-06,,-15.856,
AG1G.DE,2018-08-07,,-15.856,
AG1G.DE,2018-08-08,,-15.856,
AG1G.DE,2018-08-09,,-15.856,
AG1G.DE,2018-08-10,,-15.856,
AG1G.DE,2018-08-11,,-15.856,
AG1G.DE,2018-08-12,,-15.856,
AG1G.DE,2018-08-13,,-15.856,
AG1G.DE,2018-08-14,,-15.856,
AG1G.DE,2018-08-15,,-15.856,
AG1G.DE,2018-08-16,,-15.856,
AG1G.DE,2018-08-17,,-15.856,
AG1G.DE,2018-08-18,,-15.856,
AG1G.DE,2018-08-19,,-15.856,
AG1G.DE,2018-08-20,,-15.856,
AG1G.DE,2018-08-21,,-15.856,
AG1G.DE,2018-08-22,,-15.856,
AG1G.DE,2018-08-23,,-15.856,
AG1G.DE,2018-08-24,,-15.856,
AG1G.DE,2018-08-25,,-15.856,
AG1G.DE,2018-08-26,,-15.856,
AG1G.DE,2018-08-27,,-15.856,
AG1G.DE,2018-08-28,,-15.856,
AG1G.DE,2018-08-29,,-15.856,
AG1G.DE,2018-08-30,,-15.856,
AG1G.DE,2018-08-31,,-15.856,
AG1G.DE,2018-09-01,,-15.856,
AG1G.DE,2018-09-02,,-15.856,
AG1G.DE,2018-09-03,,-15.856,
AG1G.DE,2018-09-04,,-15.856,
AG1G.DE,2018-09-05,,-15.856,
AG1G.DE,2018-09-06,,-15.856,
AG1G.DE,2018-09-07,,-15.856,
AG1G.DE,2018-09-08,,-15.856,
AG1G.DE,2018-09-09,,-15.856,
AG1G.DE,2018-09-10,,-15.856,
AG1G.DE,2018-09-11,,-15.856,
AG1G.DE,2018-09-12,,-15.856,
AG1G.DE,2018-09-13,,-15.856,
AG1G.DE,2018-09-14,,-15.856,
AG1G.DE,2018-09-15,,-15.856,
AG1G.DE,2018-09-16,,-15.856,
AG1G.DE,2018-09-17,,-15.856,
AG1G.DE,2018-09-18,,-15.856,
AG1G.DE,2018-09-19,,-15.856,
AG1G.DE,2018-09-20,,-15.856,
AG1G.DE,2018-09-21,,-15.856,
AG1G.DE,2018-09-22,,-15.856,
AG1G.DE,2018-09-23,,-15.856,
AG1G.DE,2018-09-24,,-15.856,
AG1G.DE,2018-09-25,,-15.856,
AG1G.DE,2018-09-26,,-15.856,
AG1G.DE,2018-09-27,,-15.856,
AG1G.DE,2018-09-28,,-15.856,
AG1G.DE,2018-09-29,,-15.856,
AG1G.DE,2018-09-30,,-15.856,
AG1G.DE,2018-10-01,,-15.856,
AG1G.DE,2018-10-02,,-15.856,
AG1G.DE,2018-10-03,,-15.856,
AG1G.DE,2018-10-04,,-15.856,
AG1G.DE,2018-10-05,,-15.856,
AG1G.DE,2018-10-06,,-15.856,
AG1G.DE,2018-10-07,,-15.856,
AG1G.DE,2018-10-08,,-15.856,
AG1G.DE,2018-10-09,,-15.856,
AG1G.DE,2018-10-10,,-15.856,
AG1G.DE,2018-10-11,,-15.856,
AG1G.DE,2018-10-12,,-15.856,
AG1G.DE,2018-10-13,,-15.856,
AG1G.DE,2018-10-14,,-15.856,
AG1G.DE,2018-10-15,,-15.856,
AG1G.DE,2018-10-16,,-15.856,
AG1G.DE,2018-10-17,,-15.856,
AG1G.DE,2018-10-18,,-15.856,
AG1G.DE,2018-10-19,,-15.856,
AG1G.DE,2018-10-20,,-15.856,
AG1G.DE,2018-10-21,,-15.856,
AG1G.DE,2018-10-22,,-15.856,
AG1G.DE,2018-10-23,,-15.856,
AG1G.DE,2018-10-24,,-15.856,
AG1G.DE,2018-10-25,,-15.856,
AG1G.DE,2018-10-26,,-15.856,
AG1G.DE,2018-10-27,,-15.856,
AG1G.DE,2018-10-28,,-15.856,
AG1G.DE,2018-10-29,,-15.856,
AG1G.DE,2018-10-30,,-15.856,
AG1G.DE,2018-10-31,,-15.856,
AG1G.DE,2018-11-01,,-15.856,
AG1G.DE,2018-11-02,,-15.856,
AG1G.DE,2018-11-03,,-15.856,
AG1G.DE,2018-11-04,,-15.856,
AG1G.DE,2018-11-05,,-15.856,
AG1G.DE,2018-11-06,,-15.856,
AG1G.DE,2018-11-07,,-15.856,
AG1G.DE,2018-11-08,,-15.856,
AG1G.DE,2018-11-09,,-15.856,
AG1G.DE,2018-11-10,,-15.856,
AG1G.DE,2018-11-11,,-15.856,
AG1G.DE,2018-11-12,,-15.856,
AG1G.DE,2018-11-13,,-15.856,
AG1G.DE,2018-11-14,,-15.856,
AG1G.DE,2018-11-15,,-15.856,
AG1G.DE,2018-11-16,,-15.856,
AG1G.DE,2018-11-17,,-15.856,
AG1G.DE,2018-11-18,,-15.856,
